Iteration	Posterior	Likelihood	Prior	alpha	birth_rate	clock_rate	death_rate	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	log_clock_rate	pi[1]	pi[2]	pi[3]	pi[4]	turnover
870	-2203.97	-1828.29	-375.685	93.4539	1.16128	0.000104974	1.14406	0.0172171	0.197002	0.21593	0.0696275	0.22327	0.199475	0.0946942	0.871746	0.963428	1.03046	1.13437	-3.97892	0.358756	0.180125	0.16995	0.291168	1.14406
880	-2197.46	-1825.64	-371.817	386.306	1.70376	0.000104698	1.67907	0.0246959	0.171873	0.188387	0.060746	0.19479	0.283752	0.100453	0.936089	0.98275	1.01577	1.06539	-3.98006	0.36424	0.168679	0.162093	0.304987	1.67907
890	-2197.62	-1832.98	-364.638	145.08	1.33876	0.000113833	1.29522	0.0435453	0.177073	0.285998	0.0547835	0.135907	0.255712	0.0905262	0.89653	0.971112	1.02495	1.10741	-3.94373	0.399241	0.18144	0.135576	0.283743	1.29522
900	-2212	-1831.1	-380.895	468.983	2.78728	9.35976e-05	2.75746	0.0298155	0.146623	0.127962	0.0580832	0.206305	0.287024	0.174004	0.94193	0.984405	1.01438	1.05929	-4.02874	0.365917	0.177265	0.161947	0.294871	2.75746
910	-2215.71	-1829.31	-386.404	326.916	0.825403	9.74251e-05	0.797338	0.0280647	0.297899	0.188018	0.0518819	0.135823	0.170951	0.155426	0.9306	0.98118	1.01707	1.07115	-4.01133	0.356854	0.168027	0.153508	0.32161	0.797338
920	-2203.91	-1834.99	-368.92	65.885	1.58593	0.000115135	1.56229	0.0236437	0.336549	0.253215	0.0486373	0.112003	0.129578	0.120017	0.848034	0.955783	1.03555	1.16063	-3.93879	0.373951	0.176077	0.160862	0.28911	1.56229
930	-2195.04	-1828.97	-366.078	174.352	2.36412	0.00015481	2.34678	0.0173416	0.232424	0.26541	0.0509798	0.117398	0.20799	0.125798	0.905443	0.9738	1.02292	1.09783	-3.8102	0.35471	0.18068	0.163866	0.300743	2.34678
940	-2191.04	-1834.99	-356.047	96.1593	1.40229	0.000156835	1.36495	0.0373472	0.337601	0.189975	0.075396	0.119268	0.211303	0.0664567	0.873516	0.963987	1.03007	1.13242	-3.80456	0.349352	0.17795	0.153128	0.31957	1.36495
950	-2198.4	-1830.36	-368.033	35.174	1.45395	0.000132537	1.43018	0.0237672	0.202547	0.279164	0.0787032	0.0715558	0.180372	0.187658	0.794554	0.937442	1.04634	1.22167	-3.87766	0.374148	0.179142	0.144908	0.301802	1.43018
960	-2190.09	-1834.67	-355.416	227.13	1.17754	0.000120156	1.13909	0.0384544	0.247846	0.226785	0.0739278	0.0853355	0.262183	0.103924	0.916963	0.977218	1.02027	1.08555	-3.92025	0.369933	0.170079	0.161586	0.298401	1.13909
970	-2202.73	-1833.83	-368.907	81.8922	1.30566	0.000139179	1.28644	0.0192279	0.221884	0.203028	0.0865937	0.137831	0.234718	0.115945	0.863241	0.960719	1.03231	1.14373	-3.85642	0.36027	0.16204	0.171505	0.306185	1.28644
980	-2201.69	-1834.29	-367.403	897.57	1.33839	0.000115239	1.31306	0.0253231	0.290056	0.227976	0.0559276	0.0890198	0.226255	0.110765	0.957897	0.988847	1.01052	1.04274	-3.9384	0.374509	0.179721	0.164324	0.281446	1.31306
990	-2202.6	-1834.7	-367.897	94.2971	1.07231	0.00010593	1.04162	0.030688	0.296854	0.185797	0.0455801	0.191916	0.189581	0.0902719	0.872306	0.963605	1.03034	1.13375	-3.97498	0.358013	0.189828	0.141433	0.310726	1.04162
