Iteration	Posterior	Likelihood	Prior	alpha	birth_rate	clock_rate	death_rate	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	log_clock_rate	pi[1]	pi[2]	pi[3]	pi[4]	turnover
900	-5752.93	-5336.51	-416.427	149.679	0.228853	6.08178e-05	0.177092	0.0517604	0.17904	0.166432	0.0322827	0.225315	0.264366	0.132564	0.898099	0.971588	1.0246	1.10572	-4.21597	0.32799	0.151132	0.166296	0.354582	0.177092
910	-5741.24	-5324.82	-416.418	185.119	0.273546	6.35132e-05	0.244341	0.0292041	0.155598	0.191582	0.0657362	0.147565	0.286923	0.152596	0.908183	0.974619	1.02229	1.0949	-4.19714	0.341459	0.157339	0.17057	0.330633	0.244341
920	-5758.15	-5332.15	-426	284.961	0.136777	5.25477e-05	0.101473	0.035304	0.149768	0.211834	0.0408547	0.176812	0.295428	0.125303	0.925737	0.979777	1.01822	1.07627	-4.27945	0.337864	0.151806	0.168774	0.341556	0.101473
930	-5767.53	-5342.89	-424.643	230.581	0.0978268	5.52395e-05	0.0304469	0.06738	0.133663	0.189357	0.0519529	0.217091	0.241641	0.166295	0.917576	0.977398	1.02012	1.0849	-4.25775	0.336298	0.149401	0.167991	0.34631	0.0304469
940	-5758.79	-5338.99	-419.806	360.543	0.191616	6.03074e-05	0.147309	0.0443074	0.173542	0.200354	0.05497	0.16987	0.255673	0.145591	0.933873	0.982118	1.0163	1.06771	-4.21963	0.329361	0.148283	0.168623	0.353733	0.147309
950	-5748.44	-5331.29	-417.157	240.89	0.196141	5.76597e-05	0.15381	0.0423308	0.164477	0.186489	0.051166	0.158115	0.29111	0.148643	0.919331	0.977912	1.01972	1.08304	-4.23913	0.329049	0.14909	0.168463	0.353398	0.15381
960	-5748.47	-5329.51	-418.962	467.064	0.219685	6.07505e-05	0.1715	0.048185	0.143168	0.201223	0.0552085	0.17158	0.268434	0.160387	0.941812	0.984372	1.0144	1.05941	-4.21645	0.334744	0.150673	0.181656	0.332926	0.1715
970	-5753.3	-5339.64	-413.664	98.4034	0.260675	5.96301e-05	0.209032	0.0516428	0.151209	0.212525	0.0583093	0.125051	0.28351	0.169395	0.874929	0.964432	1.02976	1.13088	-4.22453	0.332675	0.150184	0.183576	0.333564	0.209032
980	-5751.75	-5334.92	-416.836	34.5089	0.287861	6.30207e-05	0.264064	0.0237973	0.159575	0.167136	0.0517245	0.155574	0.267028	0.198963	0.792677	0.936769	1.0467	1.22386	-4.20052	0.326452	0.149038	0.16878	0.355729	0.264064
990	-5756.2	-5339.26	-416.933	208.299	0.236456	6.21424e-05	0.205208	0.0312477	0.152904	0.217674	0.0677586	0.14907	0.221948	0.190646	0.913353	0.976154	1.0211	1.08939	-4.20661	0.335016	0.149789	0.173208	0.341988	0.205208
